,error-test,error-train,fold,l2reg,model,n_samples-test,n_samples-train,site_index,std-test,std-train
0,167.302785499,187.163648568,0,0.0,mix,63,565,0,216.201181546,246.772689171
1,272.879938509,268.00746084,0,0.0,hrrr,63,565,0,405.214304461,377.515797245
2,258.128843941,268.013455353,0,0.0,nam,63,565,0,343.1335873,372.210331092
3,205.831510413,182.785970899,1,0.0,mix,63,565,0,235.919633147,242.131239953
4,243.721438592,271.122898393,1,0.0,hrrr,63,565,0,337.847684587,384.45167857
5,288.448251852,264.543706694,1,0.0,nam,63,565,0,396.946235664,366.060594967
6,123.451981512,190.774399545,2,0.0,mix,62,566,0,150.476574773,245.54418644
7,200.43535227,274.934007559,2,0.0,hrrr,62,566,0,277.804356167,387.302528653
8,169.386863152,275.640782659,2,0.0,nam,62,566,0,232.221253389,376.838284207
9,183.975906281,185.515306869,3,0.0,mix,63,565,0,267.318745268,236.741600489
10,212.857937857,274.005302893,3,0.0,hrrr,63,565,0,360.883928012,382.198918701
11,246.552199089,269.22607289,3,0.0,nam,63,565,0,381.157151583,368.176021673
12,222.614440935,181.01349566,4,0.0,mix,63,565,0,273.075518638,243.398561102
13,347.906461826,258.136845151,4,0.0,hrrr,63,565,0,435.000853799,371.409972932
14,345.730306057,256.773725054,4,0.0,nam,63,565,0,391.632344142,365.420016911
15,241.054957792,179.415515027,5,0.0,mix,63,565,0,282.859131962,232.384611733
16,317.010247679,262.536305743,5,0.0,hrrr,63,565,0,473.912592624,364.20059373
17,232.882900015,270.579798262,5,0.0,nam,63,565,0,353.687490044,371.077726277
18,152.900715362,188.646633937,6,0.0,mix,63,565,0,209.469431126,248.779690944
19,275.797408502,267.674257992,6,0.0,hrrr,63,565,0,327.378906685,385.284325459
20,282.96634083,265.203043181,6,0.0,nam,63,565,0,353.05026188,371.26919531
21,207.376278599,182.65169071,7,0.0,mix,62,566,0,247.070431425,239.475394604
22,264.682034499,268.915205885,7,0.0,hrrr,62,566,0,352.544018168,383.297544304
23,273.503194545,266.320659383,7,0.0,nam,62,566,0,413.087599107,363.787208078
24,202.045111914,183.412233593,8,0.0,mix,63,565,0,291.201970994,238.377468018
25,314.681213711,262.848550662,8,0.0,hrrr,63,565,0,379.972736855,380.240389546
26,307.400659759,262.152968221,8,0.0,nam,63,565,0,384.248289074,367.522152111
27,163.632869669,187.687614502,9,0.0,mix,63,565,0,183.425502683,242.564433254
28,185.361817422,276.224226904,9,0.0,hrrr,63,565,0,269.458249671,387.531010487
29,223.669518411,271.445129832,9,0.0,nam,63,565,0,333.957125239,372.720378379
30,164.685533361,164.313035713,0,0.0,mix,64,571,1,209.87163502,225.152164272
31,214.759216929,208.47722499,0,0.0,hrrr,64,571,1,279.756817461,317.877873901
32,207.123890118,191.580747427,0,0.0,nam,64,571,1,266.869535073,292.264481647
33,186.72844901,161.68956971,1,0.0,mix,63,572,1,241.757234042,216.096482905
34,226.457320783,207.120559107,1,0.0,hrrr,63,572,1,376.902998236,304.958866979
35,198.315454152,192.632702083,1,0.0,nam,63,572,1,316.570007651,286.614653112
36,116.387846782,169.002955818,2,0.0,mix,63,572,1,109.435929739,221.927623368
37,79.3524069688,218.75486342,2,0.0,hrrr,63,572,1,119.79651365,321.505933832
38,76.8111723163,201.963437912,2,0.0,nam,63,572,1,112.213121553,296.386346971
39,148.244642978,166.040842635,3,0.0,mix,64,571,1,179.742200387,222.538842051
40,168.829056122,213.160692306,3,0.0,hrrr,64,571,1,212.207691848,321.181038544
41,156.921475086,196.854327478,3,0.0,nam,64,571,1,239.948126974,294.057670866
42,212.652854521,158.418353471,4,0.0,mix,64,571,1,270.445543071,219.787494027
43,279.198692907,199.737512819,4,0.0,hrrr,64,571,1,346.49725156,309.164160306
44,271.47972661,182.348262181,4,0.0,nam,64,571,1,345.735150315,279.49491355
45,183.821804382,162.762351588,5,0.0,mix,63,572,1,266.445987705,216.26102365
46,303.399673945,195.981364632,5,0.0,hrrr,63,572,1,419.139903044,291.232813189
47,209.567148573,191.316191937,5,0.0,nam,63,572,1,305.819457304,288.068387679
48,140.332559655,166.716424122,6,0.0,mix,63,572,1,151.329391262,224.879440859
49,176.436811955,212.411325615,6,0.0,hrrr,63,572,1,242.277437705,319.953485547
50,154.364311647,197.014213928,6,0.0,nam,63,572,1,205.265568096,295.619247322
51,137.427448097,167.178096758,7,0.0,mix,64,571,1,167.461163581,221.746425779
52,133.317104657,215.96323831,7,0.0,hrrr,64,571,1,210.639618957,320.814923179
53,123.653328439,199.493964129,7,0.0,nam,64,571,1,192.501236991,295.784748366
54,176.187662295,162.913850397,8,0.0,mix,64,571,1,222.962390207,222.359401096
55,214.080840134,208.555412998,8,0.0,hrrr,64,571,1,297.148778511,316.411111887
56,208.089834794,191.463387723,8,0.0,nam,64,571,1,280.520748964,290.993072873
57,188.634353627,161.693244468,9,0.0,mix,63,572,1,263.897269015,218.894381374
58,201.009246287,209.992974993,9,0.0,hrrr,63,572,1,267.852814502,318.652729964
59,245.510561267,186.548445573,9,0.0,nam,63,572,1,355.987989201,278.567475695
60,123.899514773,85.2506979431,0,0.0,mix,64,572,2,197.435137023,166.081925847
61,132.140105046,141.003414975,0,0.0,hrrr,64,572,2,215.376499514,318.993005437
62,118.912167669,88.838398304,0,0.0,nam,64,572,2,180.160308236,153.790537869
63,45.704387722,93.4125849449,1,0.0,mix,63,573,2,56.5644816443,170.286781604
64,46.7764924224,146.822902615,1,0.0,hrrr,63,573,2,46.75113628,320.409675799
65,60.175702539,95.182470807,1,0.0,nam,63,573,2,61.6222839644,161.214940594
66,37.7745684065,93.8677246493,2,0.0,mix,64,572,2,38.303074501,170.252246384
67,44.9789713836,147.000953945,2,0.0,hrrr,64,572,2,41.6217100005,320.540619793
